player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play,all_pass_pbwr,true_pass_set_pbwr
Andrew Vorhees,60818,G,BLT,17,0,3,53.1,8,17,479,100.0,100.0,96.8,1,28,3,513,513,42.7,5,7,210,100.0,100.0,95.7,15,3,226,226,94.54,93.36
Spencer Anderson,81719,G,PIT,16,0,25,60.9,2,8,171,93.4,93.8,97.1,1,10,0,182,194,45.0,1,4,52,98.1,98.1,95.2,5,0,53,54,94.51,90.57
Braden Smith,46794,T,IND,13,2,14,71.9,6,19,437,100.0,100.0,96.9,3,26,1,471,471,69.8,4,12,187,100.0,100.0,95.7,16,0,202,202,94.48,92.08
Christian Darrisaw,77373,T,MIN,10,1,18,71.8,4,12,305,100.0,100.0,96.7,1,18,2,325,325,68.2,3,8,151,100.0,100.0,95.7,12,1,161,161,94.46,92.55
Donovan Jackson,145064,G,MIN,14,0,18,65.7,5,19,440,100.0,100.0,96.8,2,26,2,468,468,62.8,2,12,204,100.0,100.0,95.6,16,2,217,217,94.44,92.63
Mike McGlinchey,46275,T,DEN,17,0,10,67.2,5,33,678,100.0,100.0,96.9,0,40,2,717,717,66.0,3,20,286,100.0,100.0,95.6,24,1,302,302,94.42,92.05
Daniel Faalele,81734,G,BLT,17,2,3,60.1,3,23,500,100.0,100.0,96.6,2,30,4,535,535,50.8,1,18,219,100.0,100.0,93.8,23,4,235,235,94.39,90.21
Jonah Williams,41651,T,ARZ,9,0,1,53.5,5,13,364,100.0,100.0,96.4,2,22,4,391,391,43.1,5,10,161,100.0,100.0,92.9,19,4,176,176,94.37,89.2
Matt Goncalves,99680,G,IND,16,0,14,62.7,10,22,564,100.0,100.0,96.8,0,34,2,603,603,59.1,7,14,239,100.0,100.0,95.2,22,1,258,258,94.36,91.47
Jordan Morgan,98652,G,GB,14,0,12,64.3,2,18,396,100.0,100.0,96.5,0,24,4,424,424,55.0,2,9,172,100.0,100.0,95.1,14,3,184,184,94.34,92.39
Abraham Lucas,60218,T,SEA,17,1,29,69.7,2,26,525,100.0,100.0,96.6,2,32,4,562,562,65.3,1,19,215,100.0,100.0,94.0,23,3,228,228,94.31,89.91
