year,team_name,nflverse_team,n_qualified,n_starter_qualified,total_snaps,total_pressures,team_pressure_rate,team_sack_rate_pff,team_avg_pbwr,team_min_pbwr,team_max_pbwr,team_std_pbwr,team_range_pbwr,team_avg_grade,team_min_grade,team_std_grade,wl_player,wl_position,wl_pbwr,wl_delta,wl_snap_share,wl_pressure_rate,tps_total_snaps,tps_total_pressures,tps_team_pressure_rate,tps_team_sack_rate_pff,tps_avg_pbwr,tps_min_pbwr,tps_max_pbwr,tps_std_pbwr,tps_range_pbwr,tps_avg_grade,tps_min_grade,tps_std_grade,tps_wl_player,tps_wl_position,tps_wl_pbwr,tps_wl_delta,tps_wl_snap_share,tps_wl_pressure_rate,n_dropbacks,total_epa,total_success,total_sacks_nfl,total_qb_hits,avg_cpoe,pass_epa_per_play,pass_success_rate,sack_rate,qb_hit_rate
2023,SEA,SEA,8,6,3193,214,0.06702160977137488,0.008769182586908864,93.29824303163169,85.56,95.99,3.578996018438689,10.429999999999993,51.8125,38.9,12.293022120582997,Stone Forsythe,T,89.74,3.55824303163169,0.0977137488255559,0.10256410256410256,1505,169,0.1122923588039867,0.01727574750830565,88.7715880398671,75.61,93.52,6.1226534863803685,17.909999999999997,40.75,23.4,13.813037319865606,Stone Forsythe,T,81.76,7.0115880398670924,0.09833887043189368,0.18243243243243243,635,40.20867,293.0,38.0,85.0,1.412101,0.0633207401574803,0.46141732283464565,0.05984251968503937,0.13385826771653545
2023,SF,SF,6,6,2773,165,0.059502344031734586,0.00576992426974396,94.0506887847097,91.8,95.89,1.541541436355185,4.090000000000003,54.699999999999996,28.3,18.01610390733801,Colton McKivitz,T,91.8,2.250688784709709,0.20663541291020554,0.08202443280977312,1193,111,0.09304274937133278,0.009220452640402346,90.69595976529757,86.07,94.67,2.9226477721408735,8.600000000000009,50.68333333333334,23.8,16.481191299983948,Colton McKivitz,T,86.07,4.62595976529758,0.20452640402347025,0.13934426229508196,541,151.27408,293.0,34.0,78.0,4.7468853,0.2796193715341959,0.5415896487985212,0.06284658040665435,0.14417744916820702
2023,TB,TB,6,5,3428,180,0.052508751458576426,0.006709451575262544,94.7476487747958,93.0,96.49,1.411122484643578,3.489999999999995,64.14999999999999,51.4,12.434106320922304,Cody Mauch,G,93.0,1.747648774795806,0.2001166861143524,0.06997084548104957,1619,129,0.07967881408276714,0.01173563928350834,92.03166151945646,88.17,94.74,2.7869511417796073,6.569999999999993,55.33333333333334,40.8,15.17823002417168,Cody Mauch,G,88.58,3.451661519456465,0.20012353304508956,0.11419753086419752,641,43.942226,284.0,40.0,76.0,0.05284108,0.06855261466458658,0.44305772230889234,0.062402496099843996,0.11856474258970359
2023,TEN,TEN,8,7,3266,241,0.0737905695039804,0.013165952235150031,92.62074402939375,82.61,95.37,4.415841612066396,12.760000000000005,55.7,29.2,12.834328965707558,Andre Dillard,T,87.61,5.010744029393749,0.10134721371708512,0.12386706948640483,1475,182,0.12338983050847457,0.022372881355932205,87.66089491525425,69.32,93.78,7.826776270324476,24.460000000000008,43.4875,20.0,14.390814282530563,Andre Dillard,T,80.43,7.23089491525424,0.0935593220338983,0.1956521739130435,576,-21.436783,235.0,64.0,139.0,0.44431916,-0.03721663715277777,0.4079861111111111,0.1111111111111111,0.24131944444444445
2023,WAS,WAS,7,6,3643,215,0.05901729343947296,0.008234971177600879,94.0980126269558,91.53,96.01,1.7448918645714453,4.480000000000004,55.87142857142857,27.8,20.434750980108557,Saahdiq Charles,G,91.87,2.2280126269558025,0.12489706286027999,0.08131868131868132,1829,165,0.09021323127392017,0.014762165117550574,90.97781848004374,85.52,94.3,3.1595184985780884,8.780000000000001,46.800000000000004,4.4,25.180945176859428,Saahdiq Charles,G,87.39,3.5878184800437367,0.13012575177692728,0.12605042016806722,737,-76.587845,309.0,65.0,124.0,0.27256718,-0.10391837856173677,0.41926729986431477,0.08819538670284939,0.16824966078697423
2024,ARZ,ARI,8,5,3128,126,0.04028132992327366,0.00479539641943734,95.97077046035804,93.88,96.89,1.14549973498781,3.010000000000005,69.6,50.3,8.899277659290268,Isaiah Adams,G,93.88,2.090770460358044,0.09398976982097186,0.061224489795918366,1165,80,0.06866952789699571,0.010300429184549357,93.13280686695279,89.09,95.49,1.8759449999552595,6.3999999999999915,61.22500000000001,33.5,13.337032225027748,Isaiah Adams,G,89.09,4.0428068669527875,0.0944206008583691,0.10909090909090909,613,66.77159,306.0,30.0,50.0,2.1810915,0.10892592169657422,0.499184339314845,0.048939641109298535,0.08156606851549755
2024,ATL,ATL,6,6,3098,146,0.04712717882504842,0.005810200129115558,95.28664622336993,94.44,97.11,1.0854614993939986,2.6700000000000017,69.31666666666668,63.6,8.143320371118081,Kaleb McGary,T,94.44,0.8466462233699303,0.18592640413169786,0.05555555555555555,1729,120,0.06940427993059572,0.009832272990167727,93.06038172353962,90.71,96.91,2.1253368360489766,6.200000000000003,60.75,51.6,9.749820511168396,Kaleb McGary,T,90.71,2.350381723539627,0.18681318681318682,0.09287925696594428,596,30.225445,285.0,32.0,89.0,-0.06262451,0.05071383389261745,0.47818791946308725,0.053691275167785234,0.1493288590604027
2024,BLT,BAL,5,5,2736,139,0.05080409356725146,0.0029239766081871343,94.91871710526317,93.91,97.23,1.3529486316930168,3.3200000000000074,69.75999999999999,63.2,6.258833757178725,Ronnie Stanley,T,93.91,1.0087171052631732,0.2101608187134503,0.06086956521739131,1271,98,0.07710464201416208,0.003933910306845004,92.2875924468922,89.19,94.81,2.0365951978731576,5.6200000000000045,64.86,52.0,12.813196322541849,Roger Rosengarten,T,89.19,3.0975924468922074,0.17466561762391816,0.10810810810810811,543,187.57634,287.0,24.0,55.0,4.7025995,0.34544445672191526,0.5285451197053407,0.04419889502762431,0.10128913443830571
2024,BUF,BUF,5,5,2881,125,0.04338771259979174,0.0013884068031933356,95.66063866712946,93.74,96.83,1.166117489792518,3.0900000000000034,70.42,62.2,8.154875842095942,O'Cyrus Torrence,G,93.74,1.9206386671294666,0.20513710517181535,0.06260575296108291,1359,90,0.06622516556291391,0.002207505518763797,93.37545253863134,90.65,95.63,1.8589163509959203,4.97999999999999,60.85999999999999,48.6,10.32341997595758,O'Cyrus Torrence,G,90.65,2.7254525386313304,0.20456217807211186,0.09352517985611511,579,167.855,284.0,14.0,51.0,0.2537481,0.28990500863557855,0.4905008635578584,0.024179620034542316,0.08808290155440414
2024,CAR,CAR,7,5,3107,140,0.04505954296749276,0.006437077566784679,95.49264885741874,93.42,98.4,1.9652795754100272,4.980000000000004,67.42857142857143,56.1,9.00068780440589,Ikem Ekwonu,T,93.42,2.0726488574187414,0.19085934985516576,0.0657672849915683,1408,105,0.07457386363636363,0.009943181818181818,92.54319602272727,87.25,97.37,3.609315328820296,10.120000000000005,59.1,36.2,12.168401702770993,Ikem Ekwonu,T,89.63,2.913196022727277,0.19176136363636365,0.1037037037037037,628,-42.69223,256.0,36.0,83.0,-0.026900517,-0.06798125796178345,0.40764331210191085,0.05732484076433121,0.1321656050955414
