year,nflverse_team,n_dropbacks,total_epa,total_success,total_sacks,total_qb_hits,avg_cpoe
2021,BUF,733,121.132675,375.0,27.0,91.0,2.0334373
2021,CAR,683,-119.5783,277.0,52.0,105.0,-7.1367784
2021,CHI,659,-67.70562,285.0,58.0,110.0,-2.7117145
2021,CIN,630,93.3871,299.0,55.0,105.0,5.1798687
2021,CLE,600,-11.240743,265.0,49.0,76.0,-1.9954708
2021,DAL,706,124.69365,353.0,33.0,80.0,2.1142507
2021,DEN,605,47.245968,278.0,40.0,93.0,2.4297082
2021,DET,643,-25.651402,289.0,36.0,93.0,-0.0008971843
2021,GB,647,132.59091,324.0,33.0,82.0,4.584308
2021,HOU,613,-63.62319,260.0,44.0,89.0,-1.2525474
2021,IND,583,10.582243,260.0,32.0,106.0,-2.3451958
2021,JAX,670,-58.082947,297.0,32.0,82.0,-4.6488895
2021,KC,751,162.20953,398.0,28.0,87.0,2.7457824
2021,LA,649,112.397514,323.0,31.0,74.0,-0.44129235
2021,LAC,748,125.37375,376.0,31.0,97.0,-0.7824578
2021,LV,686,25.53019,317.0,40.0,85.0,2.1554217
2021,MIA,688,6.426696,320.0,40.0,84.0,0.28906715
2021,MIN,648,54.855988,289.0,30.0,95.0,0.86561996
2021,NE,579,63.308346,287.0,28.0,77.0,2.9032142
2021,NO,581,-13.966209,250.0,37.0,86.0,-5.065544
2021,NYG,662,-122.69528,261.0,38.0,102.0,-4.760361
2021,NYJ,680,-73.506195,283.0,53.0,99.0,-6.617548
2021,PHI,581,55.42629,265.0,31.0,65.0,0.4275521
2021,PIT,710,-58.372738,283.0,38.0,74.0,-2.7505457
2021,SEA,569,14.56653,250.0,46.0,98.0,3.8105927
2021,SF,564,93.149376,269.0,33.0,77.0,1.7509735
2021,TB,763,140.66454,388.0,23.0,57.0,1.5622488
2021,TEN,601,38.72813,298.0,47.0,111.0,2.4460588
2021,WAS,635,-37.666664,277.0,43.0,99.0,-0.008746426
2022,ARI,753,-76.913605,302.0,46.0,90.0,-1.7115636
2022,ATL,488,-8.264483,220.0,37.0,79.0,-0.8317484
2022,BAL,563,-19.004255,242.0,38.0,57.0,-1.6950178
2022,BUF,658,135.79076,340.0,33.0,75.0,0.49875215
2022,CAR,510,-38.765007,197.0,36.0,61.0,-4.864885
2022,CHI,509,-50.398388,202.0,58.0,88.0,-3.6815543
2022,CIN,685,99.45695,343.0,44.0,86.0,2.9426634
2022,CLE,615,5.877583,272.0,44.0,96.0,0.89753294
2022,DAL,600,17.151634,279.0,27.0,80.0,-1.9587283
2022,DEN,663,-72.173935,251.0,63.0,136.0,-1.5700438
2022,DET,627,99.998505,303.0,24.0,78.0,-1.4300333
2022,GB,608,-0.15660238,274.0,32.0,70.0,0.501631
2022,HOU,641,-112.89522,236.0,38.0,105.0,-4.6228447
2022,IND,689,-112.92144,285.0,60.0,125.0,-1.250953
2022,JAX,652,80.57481,325.0,28.0,63.0,1.1112441
2022,KC,726,205.05923,386.0,26.0,86.0,3.1965752
2022,LA,611,-68.85175,265.0,59.0,116.0,-2.2290852
2022,LAC,773,22.133926,354.0,39.0,109.0,1.204449
2022,LV,649,15.329287,279.0,35.0,95.0,-2.2152424
2022,MIA,638,57.06442,294.0,35.0,95.0,0.26108345
2022,MIN,734,37.144863,356.0,47.0,134.0,1.8628194
2022,NE,604,-28.904121,248.0,41.0,67.0,0.7663931
2022,NO,564,6.540234,275.0,38.0,71.0,1.4485837
2022,NYG,630,33.470646,300.0,49.0,113.0,1.7240572
2022,NYJ,688,-67.159065,277.0,42.0,104.0,-4.8257074
2022,PHI,625,74.043526,287.0,44.0,63.0,2.0941145
2022,PIT,642,3.4488115,285.0,38.0,84.0,1.21067
2022,SEA,653,20.252777,320.0,46.0,108.0,5.5332603
2022,SF,556,91.89207,270.0,31.0,72.0,-1.7936277
2022,TB,780,27.03767,365.0,22.0,78.0,0.2260384
2022,TEN,529,-18.097292,229.0,49.0,106.0,-0.9493893
2022,WAS,635,-50.38422,264.0,48.0,118.0,-1.2943978
2023,ARI,635,-74.46005,257.0,42.0,92.0,-2.512932
2023,ATL,602,-27.893719,278.0,40.0,78.0,-3.2987013
2023,BAL,608,60.942265,294.0,41.0,68.0,2.6991868
2023,BUF,652,108.713264,331.0,24.0,74.0,5.023608
2023,CAR,683,-137.61568,256.0,65.0,120.0,-1.8139709
2023,CHI,621,-40.945107,261.0,50.0,93.0,-0.14033446
2023,CIN,695,21.24747,328.0,50.0,113.0,2.1253517
2023,CLE,696,-115.123886,270.0,45.0,107.0,-5.8291306
2023,DAL,684,132.00958,346.0,40.0,87.0,4.0473914
2023,DEN,603,-19.904198,261.0,52.0,121.0,3.7398174
2023,DET,645,69.40896,317.0,31.0,101.0,1.3668188
2023,GB,636,85.53937,295.0,30.0,74.0,1.294425
2023,HOU,660,36.743095,297.0,47.0,87.0,-1.2734705
2023,IND,648,5.7750235,275.0,41.0,75.0,-3.9309287
2023,JAX,710,-3.09562,332.0,41.0,87.0,1.6605092
2023,KC,715,54.816826,341.0,28.0,107.0,1.7103149
2023,LA,640,42.971127,289.0,34.0,88.0,-3.2681515
2023,LAC,715,4.477919,321.0,43.0,99.0,-1.5671391
2023,LV,606,-46.20559,265.0,40.0,81.0,-3.709229
2023,MIA,613,95.400375,302.0,31.0,59.0,4.5464716
2023,MIN,709,1.6342459,306.0,47.0,152.0,3.0001426
2023,NE,627,-146.77597,245.0,48.0,89.0,-3.465889
2023,NO,655,24.284079,293.0,35.0,75.0,1.8743076
2023,NYG,668,-104.48788,257.0,85.0,122.0,0.56553006
2023,NYJ,695,-201.8022,245.0,64.0,122.0,-4.966251
2023,PHI,653,60.025574,306.0,39.0,62.0,3.7408712
2023,PIT,566,-47.40405,241.0,36.0,86.0,-0.24561578
2023,SEA,635,40.20867,293.0,38.0,85.0,1.412101
2023,SF,541,151.27408,293.0,34.0,78.0,4.7468853
2023,TB,641,43.942226,284.0,40.0,76.0,0.05284108
2023,TEN,576,-21.436783,235.0,64.0,139.0,0.44431916
2023,WAS,737,-76.587845,309.0,65.0,124.0,0.27256718
2024,ARI,613,66.77159,306.0,30.0,50.0,2.1810915
2024,ATL,596,30.225445,285.0,32.0,89.0,-0.06262451
2024,BAL,543,187.57634,287.0,24.0,55.0,4.7025995
2024,BUF,579,167.855,284.0,14.0,51.0,0.2537481
2024,CAR,628,-42.69223,256.0,36.0,83.0,-0.026900517
2024,CHI,690,-39.95793,278.0,68.0,104.0,-0.20389354
2024,CIN,723,119.3925,374.0,48.0,122.0,6.7867885
2024,CLE,770,-164.17094,285.0,66.0,148.0,-4.135698
2024,DAL,687,-70.07641,280.0,38.0,83.0,-4.825573
2024,DEN,645,44.829163,283.0,24.0,56.0,0.7797567
2024,DET,597,165.3382,323.0,33.0,87.0,5.6620097
2024,GB,525,82.68334,246.0,22.0,72.0,1.3371058
2024,HOU,662,-9.803569,278.0,54.0,107.0,-2.3839588
2024,IND,569,-29.405998,234.0,32.0,79.0,-4.942838
2024,JAX,611,0.99742866,262.0,32.0,67.0,-0.74010164
2024,KC,680,92.64215,337.0,41.0,115.0,2.4385753
2024,LA,596,38.406933,289.0,31.0,98.0,-0.90631276
2024,LAC,587,65.798546,265.0,44.0,106.0,1.8304714
2024,LV,703,-54.215107,310.0,50.0,104.0,-1.5238171
2024,MIA,660,53.999462,318.0,43.0,75.0,3.0669382
2024,MIN,626,59.16084,310.0,49.0,101.0,4.0158677
2024,NE,639,-16.965302,295.0,52.0,104.0,1.7252175
2024,NO,618,-51.48589,246.0,37.0,83.0,-3.2256896
2024,NYG,669,-71.25816,280.0,48.0,122.0,-1.2220451
2024,NYJ,671,15.447347,295.0,40.0,94.0,-2.0165672
2024,PHI,535,90.35315,255.0,45.0,75.0,6.0496974
2024,PIT,586,13.561048,250.0,49.0,109.0,3.706207
2024,SEA,673,7.020163,311.0,54.0,111.0,4.7967353
2024,SF,612,83.016396,303.0,36.0,72.0,1.6546857
2024,TB,655,127.3589,342.0,40.0,57.0,3.6205842
2024,TEN,615,-55.940285,255.0,52.0,109.0,-0.2257084
2024,WAS,652,126.651886,320.0,50.0,72.0,4.565129
2025,ARI,748,16.873562,337.0,59.0,129.0,1.0338285
2025,ATL,586,3.945458,265.0,26.0,73.0,-3.2166078
2025,BAL,503,8.930252,234.0,45.0,83.0,2.992384
2025,BUF,593,114.982925,292.0,40.0,70.0,3.8193314
2025,CAR,585,-16.387537,256.0,35.0,86.0,1.4186954
2025,CHI,644,74.7679,289.0,24.0,67.0,-3.426057
2025,CIN,691,-13.945708,315.0,36.0,100.0,1.2188274
2025,CLE,641,-161.61197,220.0,51.0,134.0,-5.68061
2025,DAL,683,108.27147,331.0,31.0,95.0,2.143344
2025,DEN,676,74.86987,304.0,23.0,70.0,-1.3255467
2025,DET,624,106.27022,302.0,39.0,119.0,1.5443894
2025,GB,554,141.6068,281.0,29.0,81.0,5.9501634
2025,HOU,648,40.3418,289.0,31.0,78.0,-1.5584323
2025,IND,605,45.866505,285.0,29.0,82.0,0.56434673
2025,JAX,646,54.175262,304.0,41.0,83.0,-1.7126266
2025,KC,689,53.89765,318.0,47.0,122.0,-0.8881845
2025,LA,624,139.23714,329.0,23.0,77.0,1.5916258
2025,LAC,681,0.7914927,308.0,60.0,137.0,0.53113633
2025,LV,600,-99.04738,247.0,64.0,113.0,-1.0189384
2025,MIA,533,-4.5284886,231.0,38.0,65.0,1.6554062
2025,MIN,575,-88.877625,241.0,60.0,122.0,-2.9456494
2025,NE,613,186.64833,335.0,48.0,89.0,10.680968
2025,NO,671,-34.44459,303.0,49.0,82.0,1.5860827
2025,NYG,627,25.439142,270.0,48.0,112.0,-0.84429884
2025,NYJ,613,-86.76503,246.0,60.0,116.0,-4.104912
2025,PHI,575,41.914413,256.0,35.0,57.0,3.0378869
2025,PIT,594,19.710114,260.0,31.0,63.0,0.5896422
2025,SEA,520,62.932346,272.0,27.0,60.0,4.9548163
2025,SF,629,103.68759,331.0,27.0,82.0,5.4341707
2025,TB,644,24.686989,283.0,38.0,56.0,-2.4830465
2025,TEN,646,-126.82799,238.0,56.0,110.0,-3.5054352
2025,WAS,567,20.475132,270.0,37.0,77.0,0.6801942
